정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
155000048,국립대구박물관건너,128.639263,35.846688,155,수성구
155000049,만촌2동행정복지센터,128.6471041,35.860194,155,수성구
155000050,만촌태왕리더스건너,128.6485942,35.862626,155,수성구
155000051,만촌태왕리더스앞1,128.649002,35.863479,155,수성구
155000052,효목네거리1,128.6454391,35.8757,155,수성구
155000053,효목네거리2,128.6458499,35.875548,155,수성구
155000054,수성시니어클럽앞,128.6474731,35.872783,155,수성구
155000055,만촌1동 느지안전마을,128.647985,35.872138,155,수성구
155000056,무열대건너,128.649208,35.868091,155,수성구
155000057,무열대앞,128.6493469,35.868075,155,수성구
155000058,우방청솔맨션건너,128.6394008,35.854639,155,수성구
155000059,우방청솔맨션앞,128.6402411,35.855231,155,수성구
155000060,황금네거리1,128.6243251,35.838596,155,수성구
155000061,TBC건너,128.6238038,35.832619,155,수성구
155000062,동아스포츠센터(지산초교앞),128.6312951,35.825727,155,수성구
155000063,지산청구타운앞,128.6340181,35.824434,155,수성구
155000064,동아백화점수성점앞,128.640389,35.820813,155,수성구
155000065,범물청구맨션앞,128.6426779,35.819433,155,수성구
155000066,범물1동주민센터건너,128.6458711,35.818383,155,수성구
155000067,어린이세상앞,128.62508,35.846981,155,수성구
155000068,그랜드호텔건너,128.6261708,35.857049,155,수성구
155000069,법원앞,128.6271371,35.86212,155,수성구
155000070,대구중앙고등학교건너,128.616624,35.868063,155,수성구
155000071,대구과학고등학교앞,128.6248961,35.844591,155,수성구
156000043,용산역(1번출구),128.5278631,35.849117,156,달서구
156000044,용산역(2번출구),128.5278919,35.848719,156,달서구
156000045,장성초등학교건너,128.52432,35.848633,156,달서구
156000046,장성초등학교앞,128.522858,35.849583,156,달서구
156000047,평화타운건너,128.5170221,35.850301,156,달서구
156000048,보람타운건너,128.5196951,35.850247,156,달서구
156000049,보람타운앞,128.51824,35.850737,156,달서구
156000050,성서초등학교건너,128.514218,35.850563,156,달서구
156000051,이곡1동행정복지센터건너,128.5107098,35.851001,156,달서구
156000052,이곡1동행정복지센터앞,128.5102451,35.851439,156,달서구
